Source	Mo
Tension (kV)	40
Current (uA)	500
1.120	37.000
1.123	42.000
1.127	46.000
1.130	58.000
1.133	40.000
1.136	51.000
1.140	34.000
1.143	50.000
1.146	43.000
1.149	43.000
1.152	53.000
1.156	37.000
1.159	51.000
1.162	45.000
1.165	36.000
1.168	55.000
1.172	38.000
1.175	47.000
1.178	37.000
1.181	43.000
1.185	40.000
1.188	44.000
1.191	54.000
1.194	35.000
1.197	48.000
1.201	42.000
1.204	48.000
1.207	49.000
1.210	46.000
1.213	55.000
1.217	46.000
1.220	42.000
1.223	51.000
1.226	43.000
1.229	45.000
1.233	37.000
1.236	49.000
1.239	31.000
1.242	37.000
1.246	35.000
1.249	42.000
1.252	38.000
1.255	27.000
1.258	40.000
1.262	42.000
1.265	40.000
1.268	48.000
1.271	33.000
1.274	30.000
1.278	48.000
1.281	28.000
1.284	41.000
1.287	43.000
1.290	31.000
1.294	47.000
1.297	49.000
1.300	41.000
1.303	40.000
1.307	29.000
1.310	36.000
1.313	35.000
1.316	39.000
1.319	44.000
1.323	45.000
1.326	27.000
1.329	42.000
1.332	41.000
1.335	41.000
1.339	44.000
1.342	37.000
1.345	45.000
1.348	35.000
1.351	34.000
1.355	33.000
1.358	35.000
1.361	35.000
1.364	27.000
1.368	34.000
1.371	21.000
1.374	39.000
1.377	28.000
1.380	33.000
1.384	34.000
1.387	26.000
1.390	33.000
1.393	44.000
1.396	37.000
1.400	32.000
1.403	37.000
1.406	28.000
1.409	31.000
1.412	42.000
1.416	29.000
1.419	40.000
1.422	38.000
1.425	26.000
1.429	28.000
1.432	30.000
1.435	19.000
1.438	24.000
1.441	29.000
1.445	32.000
1.448	27.000
1.451	22.000
1.454	30.000
1.457	31.000
1.461	36.000
1.464	35.000
1.467	30.000
1.470	17.000
1.473	25.000
1.477	28.000
1.480	31.000
1.483	35.000
1.486	26.000
1.490	29.000
1.493	25.000
1.496	28.000
1.499	34.000
1.502	25.000
1.506	21.000
1.509	39.000
1.512	27.000
1.515	28.000
1.518	24.000
1.522	26.000
1.525	31.000
1.528	29.000
1.531	29.000
1.534	33.000
1.538	25.000
1.541	26.000
1.544	31.000
1.547	25.000
1.551	34.000
1.554	19.000
1.557	22.000
1.560	26.000
1.563	27.000
1.567	19.000
1.570	30.000
1.573	24.000
1.576	27.000
